"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Зарека";"https://tyumen.brusnika.ru/flat/70085/";"39,9";"7700000";"9630000";"70085"
"Республики 205";"https://tyumen.brusnika.ru/flat/57942/";"35,5";"7710000";"9640000";"57942"
"Республики 205";"https://tyumen.brusnika.ru/flat/67903/";"45,9";"7750000";"9690000";"67903"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40230/";"51,5";"7790000";"10380000";"40230"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51743/";"56,7";"7800000";"11700000";"51743"
"Республики 205";"https://tyumen.brusnika.ru/flat/57934/";"35,5";"7820000";"9770000";"57934"
"Речной порт";"https://tyumen.brusnika.ru/flat/67885/";"32,6";"7930000";"9910000";"67885"
"Речной порт";"https://tyumen.brusnika.ru/flat/67886/";"32,6";"7930000";"9910000";"67886"
"Республики 205";"https://tyumen.brusnika.ru/flat/66685/";"42,9";"7940000";"9930000";"66685"
"Зарека";"https://tyumen.brusnika.ru/flat/67232/";"46";"7940000";"8720000";"67232"
"Республики 205";"https://tyumen.brusnika.ru/flat/66686/";"45,8";"7950000";"9940000";"66686"
"Зарека";"https://tyumen.brusnika.ru/flat/67250/";"44,4";"7960000";"8750000";"67250"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40263/";"45,4";"7970000";"10630000";"40263"
"Республики 205";"https://tyumen.brusnika.ru/flat/66669/";"55,8";"7980000";"9980000";"66669"
"Республики 205";"https://tyumen.brusnika.ru/flat/67904/";"45,9";"7980000";"9980000";"67904"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46592/";"62,4";"7990000";"9990000";"46592"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58369/";"62,1";"8000000";"13280000";"58369"
"Зарека";"https://tyumen.brusnika.ru/flat/67201/";"44,4";"8000000";"8790000";"67201"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46630/";"57,2";"8010000";"11010000";"46630"
"Зарека";"https://tyumen.brusnika.ru/flat/67268/";"44,4";"8040000";"8840000";"67268"
"Республики 205";"https://tyumen.brusnika.ru/flat/58408/";"45,8";"8070000";"10090000";"58408"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52218/";"49,3";"8090000";"10110000";"52218"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49034/";"55,9";"8100000";"11740000";"49034"
"Дом у озера";"https://tyumen.brusnika.ru/flat/67943/";"33";"8110000";"9540000";"67943"
"Зарека";"https://tyumen.brusnika.ru/flat/67141/";"44,4";"8120000";"8920000";"67141"
"Республики 205";"https://tyumen.brusnika.ru/flat/54777/";"55,8";"8130000";"10160000";"54777"
"Республики 205";"https://tyumen.brusnika.ru/flat/54789/";"55,8";"8130000";"10160000";"54789"
"Республики 205";"https://tyumen.brusnika.ru/flat/56382/";"55,9";"8130000";"10160000";"56382"
"Республики 205";"https://tyumen.brusnika.ru/flat/66668/";"55,8";"8130000";"10160000";"66668"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60146/";"34,5";"8160000";"9600000";"60146"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48581/";"59,1";"8170000";"11030000";"48581"
"Речной порт";"https://tyumen.brusnika.ru/flat/67929/";"35,6";"8180000";"10220000";"67929"
"Речной порт";"https://tyumen.brusnika.ru/flat/67924/";"35,6";"8180000";"10220000";"67924"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48867/";"55,9";"8200000";"11740000";"48867"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49012/";"59,1";"8240000";"10550000";"49012"
"Республики 205";"https://tyumen.brusnika.ru/flat/54937/";"55,8";"8260000";"10320000";"54937"
"Республики 205";"https://tyumen.brusnika.ru/flat/56963/";"55,8";"8260000";"10320000";"56963"
"Республики 205";"https://tyumen.brusnika.ru/flat/56971/";"55,8";"8260000";"10320000";"56971"
"Зарека";"https://tyumen.brusnika.ru/flat/67056/";"40,2";"8350000";"9180000";"67056"
"Речной порт";"https://tyumen.brusnika.ru/flat/67931/";"35,3";"8430000";"10540000";"67931"
"Зарека";"https://tyumen.brusnika.ru/flat/66865/";"45,4";"8430000";"10540000";"66865"
"Зарека";"https://tyumen.brusnika.ru/flat/52524/";"45,1";"8450000";"10560000";"52524"
"Зарека";"https://tyumen.brusnika.ru/flat/66994/";"45,4";"8450000";"10560000";"66994"
"Зарека";"https://tyumen.brusnika.ru/flat/66995/";"46,2";"8450000";"10560000";"66995"
"Зарека";"https://tyumen.brusnika.ru/flat/69760/";"50,9";"8450000";"10560000";"69760"
"Зарека";"https://tyumen.brusnika.ru/flat/66993/";"45,1";"8460000";"10570000";"66993"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51771/";"60,9";"8470000";"11030000";"51771"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48599/";"65,2";"8520000";"11030000";"48599"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/39983/";"46,5";"8540000";"11380000";"39983"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40008/";"46,5";"8540000";"11380000";"40008"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40249/";"46,5";"8540000";"11380000";"40249"
"Республики 205";"https://tyumen.brusnika.ru/flat/52969/";"44,9";"8540000";"10680000";"52969"
"Зарека";"https://tyumen.brusnika.ru/flat/67205/";"58,4";"8540000";"9380000";"67205"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48573/";"63,3";"8550000";"11230000";"48573"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48574/";"63,3";"8550000";"11230000";"48574"
"Зарека";"https://tyumen.brusnika.ru/flat/67109/";"57,9";"8570000";"9420000";"67109"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48600/";"62,7";"8580000";"11230000";"48600"
"Республики 205";"https://tyumen.brusnika.ru/flat/43749/";"75,7";"8580000";"11440000";"43749"
"Зарека";"https://tyumen.brusnika.ru/flat/67271/";"57,9";"8610000";"9460000";"67271"
"Республики 205";"https://tyumen.brusnika.ru/flat/56373/";"44,8";"8620000";"10780000";"56373"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60096/";"43,2";"8640000";"10170000";"60096"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60136/";"43,2";"8640000";"10170000";"60136"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59888/";"61,5";"8650000";"11560000";"59888"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58352/";"67,4";"8650000";"11560000";"58352"
"Зарека";"https://tyumen.brusnika.ru/flat/70443/";"41,2";"8650000";"10810000";"70443"
"Зарека";"https://tyumen.brusnika.ru/flat/56223/";"50,9";"8650000";"10810000";"56223"
"Республики 205";"https://tyumen.brusnika.ru/flat/54240/";"44,1";"8660000";"10820000";"54240"
"Республики 205";"https://tyumen.brusnika.ru/flat/56369/";"44,1";"8660000";"10820000";"56369"
